JXNU/Emb+RNNLM+QuEst+SVM	1	0.244280	1170
JXNU/Emb+RNNLM+QuEst+SVM	2	0.330386	1664
JXNU/Emb+RNNLM+QuEst+SVM	3	0.080308	44
JXNU/Emb+RNNLM+QuEst+SVM	4	0.165466	396
JXNU/Emb+RNNLM+QuEst+SVM	5	0.120408	140
JXNU/Emb+RNNLM+QuEst+SVM	6	0.159896	356
JXNU/Emb+RNNLM+QuEst+SVM	7	0.250158	1217
JXNU/Emb+RNNLM+QuEst+SVM	8	0.364436	1729
JXNU/Emb+RNNLM+QuEst+SVM	9	0.174517	464
JXNU/Emb+RNNLM+QuEst+SVM	10	0.146488	264
JXNU/Emb+RNNLM+QuEst+SVM	11	0.214061	876
JXNU/Emb+RNNLM+QuEst+SVM	12	0.194976	683
JXNU/Emb+RNNLM+QuEst+SVM	13	0.219264	925
JXNU/Emb+RNNLM+QuEst+SVM	14	0.250790	1220
JXNU/Emb+RNNLM+QuEst+SVM	15	0.408529	1774
JXNU/Emb+RNNLM+QuEst+SVM	16	0.218757	919
JXNU/Emb+RNNLM+QuEst+SVM	17	0.256417	1273
JXNU/Emb+RNNLM+QuEst+SVM	18	0.149374	283
JXNU/Emb+RNNLM+QuEst+SVM	19	0.251658	1226
JXNU/Emb+RNNLM+QuEst+SVM	20	0.209279	822
JXNU/Emb+RNNLM+QuEst+SVM	21	0.174985	474
JXNU/Emb+RNNLM+QuEst+SVM	22	0.217994	911
JXNU/Emb+RNNLM+QuEst+SVM	23	0.170780	438
JXNU/Emb+RNNLM+QuEst+SVM	24	0.154747	324
JXNU/Emb+RNNLM+QuEst+SVM	25	0.193466	668
JXNU/Emb+RNNLM+QuEst+SVM	26	0.231803	1046
JXNU/Emb+RNNLM+QuEst+SVM	27	0.248289	1201
JXNU/Emb+RNNLM+QuEst+SVM	28	0.262332	1316
JXNU/Emb+RNNLM+QuEst+SVM	29	0.251891	1229
JXNU/Emb+RNNLM+QuEst+SVM	30	0.119519	137
JXNU/Emb+RNNLM+QuEst+SVM	31	0.266092	1340
JXNU/Emb+RNNLM+QuEst+SVM	32	0.276942	1415
JXNU/Emb+RNNLM+QuEst+SVM	33	0.187493	601
